sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0631,DJI_20260602140506_0631_V.JPG,DJI_20260602140506_0631_T.JPG,yes,yes,
0632,DJI_20260602140507_0632_V.JPG,DJI_20260602140507_0632_T.JPG,yes,yes,
0633,DJI_20260602140508_0633_V.JPG,DJI_20260602140508_0633_T.JPG,yes,yes,
0634,DJI_20260602140508_0634_V.JPG,DJI_20260602140509_0634_T.JPG,yes,yes,
0635,DJI_20260602140509_0635_V.JPG,DJI_20260602140509_0635_T.JPG,yes,yes,
0636,DJI_20260602140510_0636_V.JPG,DJI_20260602140510_0636_T.JPG,yes,yes,
0637,DJI_20260602140510_0637_V.JPG,DJI_20260602140511_0637_T.JPG,yes,yes,
0638,DJI_20260602140511_0638_V.JPG,DJI_20260602140511_0638_T.JPG,yes,yes,
0639,DJI_20260602140512_0639_V.JPG,DJI_20260602140512_0639_T.JPG,yes,yes,
0640,DJI_20260602140513_0640_V.JPG,DJI_20260602140513_0640_T.JPG,yes,yes,
0641,DJI_20260602140513_0641_V.JPG,DJI_20260602140513_0641_T.JPG,yes,yes,
0642,DJI_20260602140514_0642_V.JPG,DJI_20260602140514_0642_T.JPG,yes,yes,
0643,DJI_20260602140515_0643_V.JPG,DJI_20260602140515_0643_T.JPG,yes,yes,
0644,DJI_20260602140515_0644_V.JPG,DJI_20260602140516_0644_T.JPG,yes,yes,
0645,DJI_20260602140516_0645_V.JPG,DJI_20260602140516_0645_T.JPG,yes,yes,
0646,DJI_20260602140517_0646_V.JPG,DJI_20260602140517_0646_T.JPG,yes,yes,
0647,DJI_20260602140518_0647_V.JPG,DJI_20260602140518_0647_T.JPG,yes,yes,
0648,DJI_20260602140518_0648_V.JPG,DJI_20260602140518_0648_T.JPG,yes,yes,
0649,DJI_20260602140519_0649_V.JPG,DJI_20260602140519_0649_T.JPG,yes,yes,
0650,DJI_20260602140520_0650_V.JPG,DJI_20260602140520_0650_T.JPG,yes,yes,
0651,DJI_20260602140520_0651_V.JPG,DJI_20260602140520_0651_T.JPG,yes,yes,
